,group,loadings,explained_variance_ratio
rolling_gdp_real_yoy,gdp_growth,1.0,1.0
repo_1W_rate,domestic_fci,0.5872198192674225,0.5169472490686255
repo_on_rate_diff,domestic_fci,0.08911781028346724,0.5169472490686255
cpi_inflation_yoy,domestic_fci,0.46316017044304353,0.5169472490686255
eur_all_vol,domestic_fci,0.374982675565251,0.5169472490686255
repo_on_vol,domestic_fci,0.5404641979732911,0.5169472490686255
credit_gdp,leverage,0.48980460974944656,0.49696517506617943
share_non_resident_liabilities,leverage,0.5121560766735179,0.49696517506617943
loans_deposits_ratio,leverage,0.705540641915533,0.49696517506617943
ITA_gdp_yoy,trade_partners_macro,-0.32204596524703955,0.5477375025283095
ITA_unemployment_rate,trade_partners_macro,-0.6471468881854077,0.5477375025283095
GRE_gdp_yoy,trade_partners_macro,-0.3282942800785914,0.5477375025283095
GRE_unemployment_rate,trade_partners_macro,-0.608037965136821,0.5477375025283095
EA_vix,euro_area_fci,0.3696139534740664,0.6194569633866359
ITA_bond_10Y_rate,euro_area_fci,0.5422592374446956,0.6194569633866359
EA_headline_cpi_yoy,euro_area_fci,0.5316966556449831,0.6194569633866359
euribor_1W,euro_area_fci,0.5353868799093876,0.6194569633866359
vix,world_fci,0.7071067811865468,0.5244695056353748
oil_price,world_fci,-0.7071067811865482,0.5244695056353748
